Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-23 13:40:00-04:00,61.529998779296875,61.540000915527344,61.439998626708984,61.47999954223633,61.47999954223633,43103
2023-03-23 13:41:00-04:00,61.47999954223633,61.599998474121094,61.439998626708984,61.595001220703125,61.595001220703125,45937
2023-03-23 13:42:00-04:00,61.599998474121094,61.619998931884766,61.58000183105469,61.59989929199219,61.59989929199219,48010
2023-03-23 13:43:00-04:00,61.599700927734375,61.685001373291016,61.59000015258789,61.68000030517578,61.68000030517578,28182
2023-03-23 13:44:00-04:00,61.685001373291016,61.744998931884766,61.63999938964844,61.66999816894531,61.66999816894531,54018
2023-03-23 13:45:00-04:00,61.66999816894531,61.744998931884766,61.630001068115234,61.720001220703125,61.720001220703125,62424
2023-03-23 13:46:00-04:00,61.71770095825195,61.744998931884766,61.65999984741211,61.689998626708984,61.689998626708984,63995
2023-03-23 13:47:00-04:00,61.685001373291016,61.689998626708984,61.52000045776367,61.625,61.625,55542
2023-03-23 13:48:00-04:00,61.61000061035156,61.630001068115234,61.52000045776367,61.61000061035156,61.61000061035156,43142
2023-03-23 13:49:00-04:00,61.61000061035156,61.625,61.56999969482422,61.599998474121094,61.599998474121094,16669
2023-03-23 13:50:00-04:00,61.599998474121094,61.599998474121094,61.52000045776367,61.560001373291016,61.560001373291016,67754
2023-03-23 13:51:00-04:00,61.55500030517578,61.55500030517578,61.51499938964844,61.540000915527344,61.540000915527344,22724
2023-03-23 13:52:00-04:00,61.52000045776367,61.52000045776367,61.3849983215332,61.40999984741211,61.40999984741211,28658
2023-03-23 13:53:00-04:00,61.4099006652832,61.459999084472656,61.380001068115234,61.45399856567383,61.45399856567383,18793
2023-03-23 13:54:00-04:00,61.459999084472656,61.47999954223633,61.40999984741211,61.47999954223633,61.47999954223633,50503
2023-03-23 13:55:00-04:00,61.470001220703125,61.4900016784668,61.40999984741211,61.40999984741211,61.40999984741211,17700
2023-03-23 13:56:00-04:00,61.40999984741211,61.439998626708984,61.404998779296875,61.439998626708984,61.439998626708984,13486
2023-03-23 13:57:00-04:00,61.435001373291016,61.459999084472656,61.400001525878906,61.415000915527344,61.415000915527344,21857
2023-03-23 13:58:00-04:00,61.415000915527344,61.415000915527344,61.279998779296875,61.29499816894531,61.29499816894531,24303
2023-03-23 13:59:00-04:00,61.29499816894531,61.369998931884766,61.290000915527344,61.334999084472656,61.334999084472656,18140
2023-03-23 14:00:00-04:00,61.334999084472656,61.43000030517578,61.334999084472656,61.415000915527344,61.415000915527344,19630
2023-03-23 14:01:00-04:00,61.43000030517578,61.560001373291016,61.40999984741211,61.54999923706055,61.54999923706055,52462
2023-03-23 14:02:00-04:00,61.54999923706055,61.58000183105469,61.36000061035156,61.41999816894531,61.41999816894531,59880
2023-03-23 14:03:00-04:00,61.404998779296875,61.44499969482422,61.36000061035156,61.439998626708984,61.439998626708984,33079
2023-03-23 14:04:00-04:00,61.41999816894531,61.43000030517578,61.32500076293945,61.334999084472656,61.334999084472656,37413
2023-03-23 14:05:00-04:00,61.334999084472656,61.3650016784668,61.220001220703125,61.220001220703125,61.220001220703125,36769
2023-03-23 14:06:00-04:00,61.220001220703125,61.34000015258789,61.220001220703125,61.27000045776367,61.27000045776367,26424
2023-03-23 14:07:00-04:00,61.279998779296875,61.29999923706055,61.2400016784668,61.28499984741211,61.28499984741211,24670
2023-03-23 14:08:00-04:00,61.279998779296875,61.28499984741211,61.20000076293945,61.209999084472656,61.209999084472656,10312
2023-03-23 14:09:00-04:00,61.209999084472656,61.21500015258789,61.149898529052734,61.18000030517578,61.18000030517578,22324
2023-03-23 14:10:00-04:00,61.185001373291016,61.26499938964844,61.185001373291016,61.25,61.25,19745
2023-03-23 14:11:00-04:00,61.254600524902344,61.29999923706055,61.25,61.2599983215332,61.2599983215332,19968
2023-03-23 14:12:00-04:00,61.2599983215332,61.33000183105469,61.2599983215332,61.33000183105469,61.33000183105469,24115
2023-03-23 14:13:00-04:00,61.334999084472656,61.36000061035156,61.310001373291016,61.310001373291016,61.310001373291016,43494
2023-03-23 14:14:00-04:00,61.30799865722656,61.310001373291016,61.25619888305664,61.28350067138672,61.28350067138672,11350
2023-03-23 14:15:00-04:00,61.279998779296875,61.28499984741211,61.2400016784668,61.2400016784668,61.2400016784668,37124
2023-03-23 14:16:00-04:00,61.2400016784668,61.279998779296875,61.23400115966797,61.26499938964844,61.26499938964844,21198
2023-03-23 14:17:00-04:00,61.2599983215332,61.2599983215332,61.150001525878906,61.15570068359375,61.15570068359375,14383
2023-03-23 14:18:00-04:00,61.150001525878906,61.209999084472656,61.13180160522461,61.209999084472656,61.209999084472656,26007
2023-03-23 14:19:00-04:00,61.220001220703125,61.279998779296875,61.19499969482422,61.19499969482422,61.19499969482422,29142
2023-03-23 14:20:00-04:00,61.189998626708984,61.20000076293945,61.130001068115234,61.1349983215332,61.1349983215332,14691
2023-03-23 14:21:00-04:00,61.130001068115234,61.130001068115234,60.951698303222656,60.959999084472656,60.959999084472656,84896
2023-03-23 14:22:00-04:00,60.959999084472656,61.02000045776367,60.91999816894531,60.92190170288086,60.92190170288086,62902
2023-03-23 14:23:00-04:00,60.91999816894531,61.029998779296875,60.915000915527344,60.970001220703125,60.970001220703125,24694
2023-03-23 14:24:00-04:00,60.95000076293945,60.95000076293945,60.84000015258789,60.84989929199219,60.84989929199219,50205
2023-03-23 14:25:00-04:00,60.845001220703125,60.849998474121094,60.66999816894531,60.68000030517578,60.68000030517578,56755
2023-03-23 14:26:00-04:00,60.67499923706055,60.82500076293945,60.67499923706055,60.81999969482422,60.81999969482422,36489
2023-03-23 14:27:00-04:00,60.84000015258789,60.84000015258789,60.709999084472656,60.779998779296875,60.779998779296875,40096
2023-03-23 14:28:00-04:00,60.77199935913086,60.77199935913086,60.67499923706055,60.68000030517578,60.68000030517578,29561
2023-03-23 14:29:00-04:00,60.67399978637695,60.68000030517578,60.599998474121094,60.61000061035156,60.61000061035156,31203
2023-03-23 14:30:00-04:00,60.619998931884766,60.720001220703125,60.61000061035156,60.709999084472656,60.709999084472656,26027
2023-03-23 14:31:00-04:00,60.70500183105469,60.70500183105469,60.595001220703125,60.630001068115234,60.630001068115234,19839
2023-03-23 14:32:00-04:00,60.6150016784668,60.66279983520508,60.61000061035156,60.630001068115234,60.630001068115234,40436
2023-03-23 14:33:00-04:00,60.619998931884766,60.619998931884766,60.5099983215332,60.54499816894531,60.54499816894531,61700
2023-03-23 14:34:00-04:00,60.540000915527344,60.61000061035156,60.5099983215332,60.60499954223633,60.60499954223633,44794
2023-03-23 14:35:00-04:00,60.599998474121094,60.68000030517578,60.56999969482422,60.68000030517578,60.68000030517578,41148
2023-03-23 14:36:00-04:00,60.68000030517578,60.68000030517578,60.54999923706055,60.54999923706055,60.54999923706055,31978
2023-03-23 14:37:00-04:00,60.551998138427734,60.58000183105469,60.5099983215332,60.5099983215332,60.5099983215332,14052
2023-03-23 14:38:00-04:00,60.5099983215332,60.58000183105469,60.349998474121094,60.349998474121094,60.349998474121094,41661
2023-03-23 14:39:00-04:00,60.369998931884766,60.3849983215332,60.29999923706055,60.314998626708984,60.314998626708984,68623
2023-03-23 14:40:00-04:00,60.31999969482422,60.349998474121094,60.2599983215332,60.290000915527344,60.290000915527344,207342
2023-03-23 14:41:00-04:00,60.279998779296875,60.29999923706055,60.18000030517578,60.25,60.25,37961
2023-03-23 14:42:00-04:00,60.224998474121094,60.28499984741211,60.20000076293945,60.20500183105469,60.20500183105469,32341
