,Ticker:,Total Gain:,Trades:
94,CHTR,-0.4479930999996516%,74
95,CI,-0.10305989813404826%,67
96,CINF,0.7950314582768623%,57
97,CL,-0.7535986362839228%,65
98,CLX,-1.23886790926716%,67
99,CMA,-3.7182589038320346%,63
100,CMCSA,-1.165195864203096%,66
101,CME,-0.157279647944227%,75
102,CMG,0.4317564791078667%,36
103,CMI,0.9959941909261528%,66
104,CMS,-0.82253865932409%,67
105,CNC,-2.4284228767982357%,63
106,CNP,-2.477165822120646%,73
107,COF,-1.813983672211356%,68
108,COO,-1.327198279556066%,47
109,COP,-1.6201875443520437%,54
110,COST,0.3018079506636359%,77
111,CPB,-1.1875491142477093%,63
112,CPRT,0.09745825957635436%,71
113,CPT,-0.8203434551569758%,72
114,CRL,-1.393216064990293%,44
115,CRM,-1.0582292107890678%,69
116,CSCO,0.04296879535417629%,79
117,CSGP,-0.5064215502054739%,68
118,CSX,-0.4213378311879607%,72
119,CTAS,-1.4899705642685634%,47
120,CTLT,-7.307868864019765%,57
121,CTRA,-3.5093044916595444%,60
122,CTSH,-1.4057878714891001%,56
123,CTVA,-1.236926106516456%,60
124,CVS,-0.894140174376988%,62
125,CVX,-1.0384837162316103%,61
126,CZR,-4.130327004663759%,62
127,D,-2.132356777433906%,66
128,DAL,-1.331011348921332%,72
129,DD,-0.8192025687838072%,69
130,DE,1.1599045669896866%,76
131,DFS,-0.9474996062447232%,64
132,DG,-1.1517737961349708%,60
133,DGX,-1.1471244554369757%,70
134,DHI,-0.06294922375280217%,77
135,DHR,-0.9040284032070368%,65
136,DIS,-1.4633897514081418%,63
137,DISH,-5.318015110657845%,63
138,DLR,-3.864316881073071%,76
139,DLTR,2.304787748617656%,76
140,DOV,-1.2907069993554467%,62
141,DOW,-0.8607661184909281%,67
142,DPZ,-0.8328979764632913%,59
143,DRI,-3.1801897129496197%,67
144,DTE,-1.416066818586549%,61
145,DUK,-1.3168323599039864%,67
146,DVA,-0.20933597839510137%,61
147,DVN,-3.1208162838808233%,61
148,DXC,-1.5937916878556169%,67
149,DXCM,-1.6197997284163848%,61
150,EA,0.30273758277327206%,71
151,EBAY,-1.401856124539684%,68
152,ECL,-0.4158420357906816%,68
153,ED,0.11157347990879063%,68
154,EFX,-1.059862464427447%,59
155,EIX,-2.0859036870088867%,65
156,EL,0.02195175991346543%,70
157,ELV,-1.0690028577809203%,62
158,EMN,-1.4412564632308458%,67
159,EMR,-1.5468130000180669%,60
160,ENPH,-3.4538401050904586%,78
161,EOG,-2.3817603062399124%,60
162,EPAM,1.8065483286196378%,45
163,EQIX,-0.681462735744486%,48
164,EQR,-1.5714909682854605%,69
165,EQT,-5.647341714983546%,56
166,ES,-1.0283618668169412%,68
167,ESS,-0.4174246717516969%,53
168,ETN,-0.09299575681140736%,73
169,ETR,-2.012739515684296%,66
170,ETSY,-3.415271378815568%,67
171,EVRG,-3.5498328222508007%,65
172,EW,-0.7592277804756722%,67
173,EXC,-2.1858073353393115%,65
174,EXPD,-3.0846727470119593%,63
175,EXPE,-1.866682756449175%,69
176,EXR,-2.8687287351630784%,66
177,F,-0.6659253441302767%,61
178,FANG,-2.7148030319777003%,61
179,FAST,-1.0791501380927033%,59
180,FCX,-1.804803178926865%,59
181,FDS,0.5138319799139757%,38
182,FDX,1.0185793042574338%,73
183,FE,-1.3803740774099256%,68
184,FFIV,0.13979790171269238%,50
185,FICO,0.08236137409708401%,45
186,FIS,-3.882813352126535%,71
187,FISV,-1.0799282242230375%,62
188,FITB,-2.083031314742436%,71
189,FLT,0.47444623612352255%,60
190,FMC,-0.6539134897869512%,62
191,FOX,-0.39384018181528613%,74
192,FOXA,-0.38004285701842616%,77
193,FRC,-1.753786455267444%,71
194,FRT,-0.3010790107602535%,63
195,FSLR,-4.979017392456631%,67
196,FTNT,-0.8276581073087836%,67
197,FTV,-1.1816898605084718%,67
198,GD,0.7750972486666478%,73
199,GE,-0.6742755191351546%,63
200,GEHC,-0.5572047137279228%,71
201,GEN,-1.0182449066257053%,66
202,GILD,-0.815777654580889%,67
203,GIS,-1.2857390198198995%,74
204,GL,-0.6895479102202113%,40
205,GLW,1.5019965865221816%,73
206,GM,-2.584567594393668%,58
207,GNRC,-3.5700407750213077%,65
208,GOOG,-0.26660499677223815%,69
209,GOOGL,-0.5153266790101757%,68
210,GPC,0.5894226872701982%,69
211,GPN,2.1405725735118812%,71
212,GRMN,-1.6590531458397795%,62
213,GS,-0.7224489641800315%,69
214,GWW,-0.5033599458792853%,36
215,HAL,-0.49173658274112375%,74
216,HAS,-2.413696933751062%,58
217,HBAN,-0.41101906214143413%,73
218,HCA,2.198549922344756%,68
219,HD,-0.4087129404571015%,67
220,HES,-1.438507632562641%,60
221,HIG,-0.5107924626882474%,68
222,HII,-0.5015680239582543%,46
223,HLT,-1.292111998260417%,64
224,HOLX,-3.3676149628318663%,64
225,HON,-1.1868839384251697%,58
226,HPE,1.5453346802375219%,62
227,HPQ,-0.2935284415558405%,61
228,HRL,-0.21667338558625307%,68
229,HSIC,-0.4818447960368672%,61
230,HST,-3.345314339768165%,64
231,HSY,0.6671417695751276%,70
232,HUM,0.3060445430658909%,67
233,HWM,-0.06666275688727198%,62
234,IBM,-0.10840289946413476%,64
235,ICE,0.5410311382786274%,80
236,IDXX,-1.8485058062147974%,55
237,IEX,-0.5980529512352886%,39
238,IFF,-1.86089380202444%,66
239,ILMN,-1.0745192311442575%,70
240,INCY,-0.08213944642206693%,76
241,INTC,-1.341415488828766%,77
242,INTU,-0.2198824816981514%,68
243,INVH,-1.7043497789271813%,68
244,IP,-1.093950370056602%,66
245,IPG,-0.6403676841376438%,65
246,IQV,-0.17793967663237775%,67
247,IR,-1.0800709861591882%,61
248,IRM,-1.6461541106335298%,61
249,ISRG,-1.3377166261694338%,72
250,IT,0.5898496096166319%,48
251,ITW,-0.0017966686550769852%,60
252,IVZ,-1.9930810102703131%,61
253,J,-0.04701688593244118%,39
254,JBHT,-1.337657650392172%,51
255,JCI,0.8293738233132758%,70
256,JKHY,-0.14676885293423553%,58
257,JNJ,-0.06874679168308415%,64
258,JNPR,-0.01748345945453239%,67
259,JPM,-1.5313909980208298%,65
260,K,-1.065593150749883%,60
261,KDP,-0.3322869357802636%,72
262,KEY,0.13251022099252618%,72
263,KEYS,-2.217157976203023%,55
264,KHC,-0.6553769267270092%,70
265,KIM,-3.0390489328978574%,56
266,KLAC,0.06642699095866905%,71
267,KMB,-0.3209441816201939%,66
268,KMI,-2.071646984094144%,63
269,KMX,-2.1555154709242603%,64
270,KO,-0.4489135044374081%,69
271,KR,-0.5530041723487469%,66
272,L,-1.2399053274596477%,58
273,LDOS,2.70964315044973%,71
274,LEN,0.6291354970801316%,69
275,LH,0.25678960389333766%,54
276,LHX,0.2998408856021131%,64
277,LIN,1.5523268969258035%,73
278,LKQ,-0.453446738932682%,61
279,LLY,0.26996782566669436%,69
280,LMT,0.3907579854622557%,71
281,LNC,-2.3837147522384745%,65
282,LNT,-2.112429321356094%,58
283,LOW,0.27080213993869506%,68
284,LRCX,-1.477765070859089%,68
285,LUV,-2.0519551058423926%,66
286,LVS,-3.4582627405931428%,64
287,LW,-1.3498246236504619%,68
288,LYB,-0.7515311872395293%,67
289,LYV,-4.040011180956419%,61
290,MA,0.4413405834919307%,69
291,MAA,-0.16338920922576838%,72
292,MAR,-0.7985302574381864%,76
293,MAS,0.39525034040248863%,67
294,MCD,0.125044086523389%,75
295,MCHP,-1.3850827400214825%,74
296,MCK,0.31253571340224046%,71
297,MCO,0.2468403809554307%,64
298,MDLZ,-0.8052538995785555%,61
299,MDT,-2.018522079417733%,63
300,MET,-1.6619531169491244%,64
301,META,-0.9772937383040308%,67
302,MGM,-1.5629010685388738%,70
303,MHK,-1.0627407105617515%,54
304,MKC,0.1229003808613171%,66
305,MKTX,1.4539520057898052%,39
306,MLM,-1.7279591230491378%,47
307,MMC,0.3107573887856865%,66
308,MMM,-1.146193380868064%,64
309,MNST,-3.495924934628717%,68
310,MO,0.1761196276989911%,71
311,MOH,-1.473154061034955%,53
312,MOS,-1.8180644133647428%,67
313,MPC,-4.15595185442163%,64
314,MPWR,-2.2534621459056083%,53
315,MRK,-0.30761254793817505%,60
316,MRNA,-0.47458603234200536%,67
317,MRO,-1.9511711976144992%,66
318,MS,-0.38738620582820843%,79
319,MSCI,-0.27290199941508025%,40
320,MSFT,-0.871352902407915%,70
321,MSI,0.5539832542416876%,73
322,MTB,-0.3607497629857159%,74
323,MTCH,-1.741367575946814%,67
324,MTD,1.2428937574733552%,21
325,MU,-2.82189312190327%,68
326,NCLH,-1.3612689798444315%,73
327,NDAQ,0.3733039224626129%,72
328,NDSN,-0.4561987154986612%,31
329,NEE,-1.8760132803930571%,66
330,NEM,-1.6323405248981075%,58
331,NFLX,-1.7754258197821777%,61
332,NI,-1.883212077392584%,64
333,NKE,-1.36666988916617%,65
334,NOC,0.24825762688703448%,59
335,NOW,1.61650344782614%,70
336,NRG,-1.9282901881024461%,68
337,NSC,0.10357996489904697%,65
338,NTAP,-1.1785187328777504%,65
339,NTRS,-0.10094687626948261%,75
340,NUE,-0.2271510437331081%,68
341,NVDA,-1.2270729936218134%,65
342,NVR,0.3344737344614045%,28
343,NWL,-3.520653372308465%,67
344,NWS,0.11893893789554982%,69
345,NWSA,-0.031954217784433345%,70
346,NXPI,-3.286009869093374%,76
347,O,-1.2849938293233796%,65
348,ODFL,-2.5513810234491436%,52
349,OGN,-0.6882146663962412%,73
350,OKE,-2.485713712823666%,63
351,OMC,0.377093317021313%,63
352,ON,-2.120734076037021%,69
353,ORCL,0.6253744809514192%,74
354,ORLY,1.3689861046589484%,51
355,OTIS,-0.3428431807683551%,72
356,OXY,-3.001664038989518%,61
357,PARA,-3.7892468349899886%,63
358,PAYC,-3.8162406994598745%,53
359,PAYX,-2.4859896068272453%,64
360,PCAR,-0.3675184660457832%,61
361,PCG,0.15052040878135%,75
362,PEAK,-4.49415658204821%,55
363,PEG,-2.026672583989456%,64
364,PEP,-0.7257371926558158%,69
365,PFE,-0.41689086426894106%,62
366,PFG,-2.36627363719163%,60
367,PG,-0.6318096848184227%,69
368,PGR,-0.2014355704258098%,65
369,PH,-0.6053955664371892%,63
370,PHM,-0.4843416450900716%,71
371,PKG,-0.18951732533888038%,55
372,PKI,-1.4407917549411988%,71
373,PLD,-0.9934334456903483%,68
374,PM,-0.4508902838816121%,66
375,PNC,-2.104406748679197%,70
376,PNR,-0.7777580257210285%,66
377,PNW,-1.7348163276229458%,63
378,PODD,-1.8005311977968974%,58
379,POOL,-0.24486971913436978%,51
380,PPG,-1.6919598970130665%,64
381,PPL,-1.8917990766167403%,67
382,PRU,-1.5328515430629974%,63
383,PSA,-0.5946380088972547%,70
384,PSX,-3.7344098412624427%,57
385,PTC,-0.024337087532078687%,54
386,PWR,-0.281648277778959%,60
387,PXD,-2.395183474181601%,67
388,PYPL,-2.1553653202191625%,67
389,QCOM,-0.8205015073017742%,77
390,QRVO,-0.7471946166515109%,70
391,RCL,-1.4852927126717308%,72
392,RE,1.584294943891929%,34
393,REG,-0.8431470514440147%,60
394,REGN,0.6698180062585012%,58
395,RF,1.2137300189343958%,70
396,RHI,-1.2524824194818576%,53
397,RJF,-1.3350743424845442%,69
398,RL,-0.5340279704651564%,62
399,RMD,-0.08115592025935967%,62
400,ROK,-1.5040645043785024%,62
401,ROL,-0.22652418702652288%,69
402,ROP,-0.07316894732556607%,64
403,ROST,-1.0744025928875525%,62
404,RSG,0.8736826008406329%,71
405,RTX,0.14190025277092283%,68
406,SBAC,-1.5508188227028366%,64
407,SBUX,0.024937470317800248%,61
408,SCHW,-2.291635902384466%,72
409,SEDG,-2.132999890510396%,73
410,SEE,-0.9528425677310566%,65
411,SHW,-0.39361741313162735%,69
412,SJM,1.3095711801673637%,64
413,SLB,-1.9238301332065968%,75
414,SNA,1.2761358251797086%,34
415,SNPS,0.7086389418361639%,66
416,SO,-2.199730713726625%,58
417,SPG,0.7370796574437064%,73
418,SPGI,-0.28247660782513884%,71
419,SRE,-1.559496339089656%,67
420,STE,2.2788502886644038%,53
421,STLD,-0.8572336007405364%,67
422,STT,-0.8834969361485548%,71
423,STX,-1.1783219050973772%,77
424,STZ,-0.06074232615081369%,75
425,SWK,-1.3712735432086887%,69
426,SWKS,-0.47510422550800796%,73
427,SYF,-0.3460603498622884%,72
428,SYK,-0.5011876492031884%,68
429,SYY,-0.45553387172087484%,66
430,T,0.24759301359408883%,69
431,TAP,-0.8825082840412227%,66
432,TDG,0.44781722779878946%,40
433,TDY,-0.22793772163649634%,30
434,TECH,1.8325202495371422%,68
435,TEL,-1.8089426452031336%,70
436,TER,2.085884176170155%,75
437,TFC,-2.623922703885362%,71
438,TFX,0.5933416693305495%,39
439,TGT,-0.696194636817605%,77
440,TJX,1.7170896302168388%,73
441,TMO,1.3487348071363674%,71
442,TMUS,1.8948151273717966%,54
443,TPR,-0.8689475676749225%,70
444,TRGP,-4.191768417091516%,71
445,TRMB,-0.8903933177104773%,66
446,TROW,-0.20478493120451596%,72
447,TRV,0.30350025775081635%,72
448,TSCO,-0.18417518768821822%,61
449,TSLA,-4.39859213992751%,71
450,TSN,0.5363166341744308%,70
451,TT,-1.851468234236486%,77
452,TTWO,-1.775302630671781%,62
453,TXN,0.3555442666197093%,73
454,TXT,-0.45155386287348387%,71
455,TYL,0.0717117420467494%,43
456,UAL,-3.7464649504260414%,60
457,UDR,-1.7682039920941683%,70
458,UHS,0.5380786891646668%,56
459,ULTA,-0.3943079149026373%,52
460,UNH,-0.5199715406427018%,66
461,UNP,-1.0020053409802547%,75
462,UPS,1.2056355682675024%,66
463,URI,-3.6724740086356915%,63
464,USB,-2.4022972545417414%,63
465,V,0.15440915391406676%,73
466,VFC,-2.798250269982576%,65
467,VICI,-1.4951288876752267%,63
468,VLO,-5.1835293156694675%,59
469,VMC,-1.2742534398722953%,64
470,VRSK,0.29206809676649975%,77
471,VRSN,0.4264554435716707%,65
472,VRTX,1.8704918319066939%,70
473,VTR,-1.117508875804388%,61
474,VTRS,-1.6043578151454587%,68
475,VZ,-0.1603075525443641%,72
476,WAB,-0.3749692451098876%,64
477,WAT,1.078129509433376%,45
478,WBA,-0.213925922174553%,69
479,WBD,-1.5537991187778437%,74
480,WDC,-0.9681537718739922%,74
481,WEC,-1.2897434695225622%,65
482,WELL,-2.192666650499642%,63
483,WFC,-1.2495178925061625%,62
484,WHR,-0.530699788914915%,50
485,WM,-0.08870530955809658%,68
486,WMB,-1.481524536036116%,64
487,WMT,-0.022729245635707038%,70
488,WRB,0.02727944279807737%,68
489,WRK,-0.8327404142201755%,70
490,WST,3.5587162803928614%,49
491,WTW,-0.06964437518183851%,55
492,WY,-1.2956666095342206%,69
493,WYNN,-3.0463578951843506%,63
494,XEL,-0.361574495274011%,70
495,XOM,-0.8983702937174849%,65
496,XRAY,-1.660302350578056%,60
497,XYL,-0.9813941326877366%,64
498,YUM,0.22657039770621465%,70
499,ZBH,-0.5257737246704851%,64
500,ZBRA,-2.1040101239990974%,34
501,ZION,-2.6329691279981056%,64
502,ZTS,-0.8177355993885367%,73
