,Ticker:,Total Gain:,Trades:
71,BRO,-0.4066049660952513%,36
72,BSX,-0.14377010435563875%,37
73,BWA,-2.4536964834473998%,30
74,BXP,2.4030458754639903%,50
75,C,3.3536226899911505%,91
76,CAG,0.7412838021570658%,36
77,CAH,-1.7233447033346896%,39
78,CARR,-1.7134832224421102%,35
79,CAT,0.7666403760880665%,57
80,CB,0.7166540660295593%,38
81,CBOE,-0.10344661977267383%,35
82,CBRE,-4.527191609104866%,32
83,CCI,4.275322634805916%,43
84,CCL,-1.926953247254665%,92
85,CDAY,-1.9096656612687226%,29
86,CDNS,1.178581060117285%,44
87,CDW,0.8752679907729567%,41
88,CE,-3.0641482140361544%,30
89,CEG,6.887208619441523%,42
90,CF,0.4859484403065039%,37
91,CFG,0.017719855172873%,44
92,CHD,-0.940293184873364%,35
93,CHRW,-1.4318780854046316%,34
94,CHTR,2.03471842738308%,35
95,CI,0.0681947967551888%,43
96,CINF,-0.658927057438329%,37
97,CL,-1.4651696204720284%,39
98,CLX,0.544537234122743%,43
99,CMA,-7.732213885144297%,49
100,CMCSA,5.828357834279735%,47
101,CME,-4.290233462110992%,34
102,CMG,3.323598961758983%,26
103,CMI,1.1804484939494058%,37
104,CMS,-0.44641169811294246%,39
105,CNC,-2.517696737193188%,40
106,CNP,-1.858716301991854%,38
107,COF,0.5173241920372951%,44
108,COO,0.09421413063344275%,24
109,COP,3.888950215470591%,42
110,COST,3.281129230912924%,78
111,CPB,-0.007975164142489333%,42
112,CPRT,-0.8263806097493915%,39
113,CPT,-1.9258112759911241%,37
114,CRL,-2.5553333549618045%,29
115,CRM,1.114724280846923%,66
116,CSCO,0.6697187301437262%,53
117,CSGP,-1.3465717100676087%,36
118,CSX,2.6357825239429467%,48
119,CTAS,0.9561640754590759%,29
120,CTLT,-2.9555682077197547%,37
121,CTRA,3.283450478944167%,41
122,CTSH,-1.336671404913055%,33
123,CTVA,-0.8036823633243428%,35
124,CVS,1.138309787384345%,65
125,CVX,1.593511348990243%,63
126,CZR,-1.7288309527222356%,42
127,D,-0.39244333486085803%,40
128,DAL,3.1845350932966396%,88
129,DD,0.984837323904936%,38
130,DE,-0.956347504569246%,38
131,DFS,-0.9251456883622683%,37
132,DG,8.363403080058472%,49
133,DGX,0.45189602745530055%,48
134,DHI,-0.3369781804337051%,45
135,DHR,-1.0938385768566274%,36
136,DIS,7.138785014630289%,11
137,DISH,8.492529549035895%,47
138,DLR,9.071116158490852%,37
139,DLTR,-3.587324583052262%,32
140,DOV,1.3307698427993693%,39
141,DOW,4.653972776341716%,35
142,DPZ,1.863961090814638%,48
143,DRI,-0.8166562423903991%,40
144,DTE,1.9697783603329047%,43
145,DUK,5.643364508882323%,49
146,DVA,-1.338396016481552%,33
147,DVN,0.8215851960442311%,71
148,DXC,-3.994053563149409%,34
149,DXCM,-1.0708643958804211%,44
150,EA,0.35438474163133316%,37
151,EBAY,-0.9154914820868534%,40
152,ECL,1.0551040936193097%,44
153,ED,-0.9932846054491569%,40
154,EFX,-1.334734443339536%,31
155,EIX,-0.7748949904726361%,32
156,EL,2.605968101209398%,37
157,ELV,-1.7129033555005693%,33
158,EMN,-1.5414091797340284%,33
159,EMR,-0.3876901890121499%,34
160,ENPH,2.109557600797716%,87
161,EOG,3.1092968173586235%,43
162,EPAM,0.7601770329743167%,38
163,EQIX,0.965462848222408%,36
164,EQR,-2.1726709693514596%,45
165,EQT,5.976358500792332%,42
166,ES,-0.40465152395637116%,39
167,ESS,2.6495145209040514%,36
168,ETN,-1.124342015246105%,44
169,ETR,0.12689409346674352%,47
170,ETSY,2.6737600156961054%,50
171,EVRG,-1.2388383990427654%,41
172,EW,-2.07379928755167%,36
173,EXC,0.024495640925061846%,36
174,EXPD,-1.981313314290336%,36
175,EXPE,4.297666647756606%,40
176,EXR,-1.8637073477848398%,30
177,F,-1.3648748355213178%,92
178,FANG,5.079787212048132%,39
179,FAST,-1.6542964027488214%,45
180,FCX,-3.4011098727239424%,45
181,FDS,-11.971838222585852%,31
182,FDX,4.544790344033195%,43
183,FE,-2.6704977283111964%,40
184,FFIV,-1.834693537935335%,25
185,FICO,1.0529745155974761%,25
186,FIS,2.4696690351444697%,35
187,FISV,-0.4796902200230827%,34
188,FITB,0.20888456225133167%,53
189,FLT,-2.6317909357080986%,30
190,FMC,-2.0196689199112634%,38
191,FOX,0.0469604194105806%,33
192,FOXA,-0.9301540445657162%,34
193,FRC,-12.12098428747277%,81
194,FRT,9.62751569937125%,39
195,FSLR,0.08491239344117024%,55
196,FTNT,3.911470438760513%,47
197,FTV,-2.9545352135491396%,30
198,GD,6.750500515950537%,62
199,GE,2.36183789735871%,57
200,GEHC,6.580094108960131%,44
201,GEN,0.13270794553337673%,38
202,GILD,0.4691719109475919%,40
203,GIS,-0.14244701325587883%,40
204,GL,-0.5806701999892065%,35
205,GLW,-0.31430659160802443%,42
206,GM,1.172164397129291%,81
207,GNRC,4.307355737218887%,41
208,GOOG,3.2532201966201817%,10
209,GOOGL,2.5738591986591937%,11
210,GPC,-4.053669608643871%,39
211,GPN,-2.4505756495104998%,33
212,GRMN,-0.2935613912469016%,36
213,GS,3.7096818052075924%,68
214,GWW,-0.12422994833500223%,23
215,HAL,0.2032434954844797%,56
216,HAS,1.8031435719050424%,39
217,HBAN,-4.5761002267814%,46
218,HCA,-1.4680277761530882%,34
219,HD,3.779606403532978%,55
220,HES,-2.5999391956631%,40
221,HIG,-2.9480532598090226%,36
222,HII,1.3216442406279234%,35
223,HLT,-0.13867854278527503%,34
224,HOLX,-0.3849404178210381%,43
225,HON,-1.2963504048742205%,41
226,HPE,3.3968239191844956%,38
227,HPQ,0.44603475618642224%,39
228,HRL,3.0589646798686276%,44
229,HSIC,-0.6620620273008997%,44
230,HST,-2.831626970502058%,39
231,HSY,2.6470267715526803%,45
232,HUM,-4.984955134505104%,40
233,HWM,-2.1050788697350207%,27
234,IBM,3.4389439986372405%,69
235,ICE,-1.2000147308126852%,39
236,IDXX,1.173429266428558%,26
237,IEX,-1.0990314802978893%,27
238,IFF,0.6817021358400398%,45
239,ILMN,2.2077017553624243%,40
240,INCY,5.867217946849699%,45
241,INTC,4.1780853902535355%,10
242,INTU,1.4556397297748256%,41
243,INVH,-1.2724889672158104%,43
244,IP,-2.698585312539906%,33
245,IPG,-1.8311352014049977%,35
246,IQV,-1.835707587184744%,37
247,IR,-3.0977908621520998%,30
248,IRM,1.8078291790561307%,48
249,ISRG,3.317322516660835%,49
250,IT,-1.034139400040293%,37
251,ITW,-0.04405828400048434%,35
252,IVZ,-4.766764632132294%,37
253,J,-0.7898360511694393%,35
254,JBHT,-0.005222258305535132%,37
255,JCI,-0.25405093072082385%,31
256,JKHY,-0.24670748252605115%,37
257,JNJ,5.061478229851177%,85
258,JNPR,-1.0079173331103788%,38
259,JPM,1.6391111871867579%,93
260,K,0.5732800774374336%,41
261,KDP,-1.7521312475494764%,37
262,KEY,-4.057912385472561%,68
263,KEYS,-0.7243475165162491%,33
264,KHC,2.7541527965278374%,54
265,KIM,-2.0407275187673446%,36
266,KLAC,-0.47926006362553364%,37
267,KMB,0.7936735893679511%,42
268,KMI,-0.00755449570713862%,45
269,KMX,0.8736219415848447%,41
270,KO,6.614773897600292%,10
271,KR,4.616397281236021%,41
272,L,-1.3320120983880757%,33
273,LDOS,-1.595764365834232%,37
274,LEN,-2.118994359746492%,35
275,LH,-0.5353222648126856%,34
276,LHX,0.21395109171743398%,51
277,LIN,-0.950275217324633%,46
278,LKQ,-1.3037316640816727%,34
279,LLY,3.282691573813839%,52
280,LMT,1.1724697068200032%,50
281,LNC,2.385171322180489%,46
282,LNT,-0.6554158693842311%,38
283,LOW,1.2821129652248924%,43
284,LRCX,0.37347016310288095%,46
285,LUV,1.8287351041190656%,63
286,LVS,-0.3042492459129926%,42
287,LW,-0.5071583757746494%,46
288,LYB,-3.860340578145799%,31
289,LYV,3.4146104839369658%,29
290,MA,-0.6312577217060328%,35
291,MAA,-1.1810964822266716%,43
292,MAR,-3.3344108031655226%,35
293,MAS,-2.554956850636101%,31
294,MCD,6.63501368200791%,51
295,MCHP,-0.8649927960126034%,38
296,MCK,-1.6136521851138517%,38
297,MCO,-1.2959369101692204%,38
298,MDLZ,0.19971908796623195%,46
299,MDT,2.4943780318662196%,52
300,MET,-2.1895854034225852%,44
301,META,-0.9797620357168365%,77
302,MGM,-2.2050356291549904%,35
303,MHK,-1.7858327481838625%,34
304,MKC,-0.812975433368295%,44
305,MKTX,-1.0237802839198558%,22
306,MLM,0.2202497346161581%,36
307,MMC,0.24296625852160814%,36
308,MMM,3.109218137726996%,66
309,MNST,0.09940824325164155%,44
310,MO,-0.22219561105829247%,53
311,MOH,-1.5434811686377103%,28
312,MOS,-3.2570708219184925%,30
313,MPC,-2.5938507011422915%,35
314,MPWR,0.08817353133469889%,30
315,MRK,0.8126299665789847%,46
316,MRNA,5.758055330002531%,64
317,MRO,13.734657758078017%,49
318,MS,0.32315439208138963%,52
319,MSCI,1.5991443046894602%,35
320,MSFT,3.7927551731736244%,79
321,MSI,-0.4112516922550419%,35
322,MTB,9.419760311754459%,40
323,MTCH,-0.8624563790666899%,39
324,MTD,0.5978042848478973%,10
325,MU,-0.3851624685727698%,52
326,NCLH,0.22029855456435138%,62
327,NDAQ,5.5992299793021685%,46
328,NDSN,-0.6864801981959813%,18
329,NEE,2.146352414725662%,42
330,NEM,0.46406794035052207%,41
331,NFLX,-0.4045398484841216%,75
332,NI,3.829211708246822%,45
333,NKE,1.0442205731045904%,57
334,NOC,3.1928982999626143%,49
335,NOW,0.41504532294948654%,45
336,NRG,1.4018077923246162%,43
337,NSC,1.0517244768395595%,41
338,NTAP,-1.1057068084572201%,41
339,NTRS,-0.8115973036531379%,40
340,NUE,-1.9273240644824707%,41
341,NVDA,25.527004779551284%,71
342,NVR,0.46386756354219816%,22
343,NWL,1.147608175602747%,40
344,NWS,0.10798014828980934%,39
345,NWSA,0.5026027379282746%,43
346,NXPI,0.14252807247335228%,45
347,O,4.3231653827921654%,80
348,ODFL,-1.5743359761596112%,36
349,OGN,5.70155404780297%,40
350,OKE,5.502398016501235%,44
351,OMC,-0.9669339335326864%,37
352,ON,-1.6562765698441093%,43
353,ORCL,0.8631343437391826%,55
354,ORLY,1.7956449991886854%,28
355,OTIS,-1.3942263468852876%,34
356,OXY,0.3317352545638806%,61
357,PARA,3.4837266808778176%,49
358,PAYC,1.511094330278608%,35
359,PAYX,0.2328244565605712%,43
360,PCAR,-2.2433457532556678%,33
361,PCG,0.2826383045478028%,42
362,PEAK,2.478593143190641%,48
363,PEG,0.20293787692039678%,43
364,PEP,1.3495588841136659%,48
365,PFE,1.4432760624858227%,57
366,PFG,-1.555981657880279%,45
367,PG,0.5133409593491449%,41
368,PGR,1.1998412918024328%,48
369,PH,-1.2192247584943736%,32
370,PHM,-0.0967816855500554%,38
371,PKG,-0.3631776804931163%,31
372,PKI,-0.8431355410965244%,37
373,PLD,6.038785856372463%,43
374,PM,1.487604127048095%,51
375,PNC,-2.872818537134817%,44
376,PNR,-2.230018516489645%,37
377,PNW,-2.3047060364310177%,37
378,PODD,-0.14725904568986992%,36
379,POOL,0.4787438949040419%,39
380,PPG,1.0792580424885145%,33
381,PPL,-0.09645345821773943%,48
382,PRU,-2.3437418406954658%,41
383,PSA,1.9986310626177635%,38
384,PSX,0.026745475523325846%,43
385,PTC,-0.527040677368635%,30
386,PWR,-0.49758394744156%,43
387,PXD,0.13942945539163212%,53
388,PYPL,3.3379663791296244%,82
389,QCOM,-0.09700159773522793%,49
390,QRVO,-0.08403052917295195%,40
391,RCL,5.136212440643531%,48
392,RE,-0.6734300065011493%,23
393,REG,-0.8308772595251215%,43
394,REGN,2.7492969283799247%,44
395,RF,-0.12365236477178376%,33
396,RHI,0.09476211515895305%,41
397,RJF,-0.16873916991494914%,43
398,RL,-2.2487580931485747%,32
399,RMD,-0.6007931801422479%,34
400,ROK,-2.0772743384016863%,30
401,ROL,-1.1664733945100192%,34
402,ROP,-1.367561163650972%,38
403,ROST,-2.5663582390028634%,38
404,RSG,-0.8280086978608518%,38
405,RTX,3.132820697711732%,50
406,SBAC,0.6676180935007995%,35
407,SBUX,-0.041879432474175915%,55
408,SCHW,-4.66204528576322%,71
409,SEDG,-0.6361532929552527%,44
410,SEE,-1.8461831801837478%,37
411,SHW,5.218005166414631%,42
412,SJM,-0.9474077660243737%,38
413,SLB,-4.817243111294933%,35
414,SNA,0.49362449238539574%,33
415,SNPS,-0.8847541574212534%,37
416,SO,-0.13909152784065157%,45
417,SPG,1.350323584823014%,51
418,SPGI,2.12342293125128%,44
419,SRE,0.14515086418712442%,39
420,STE,0.2370898512242572%,36
421,STLD,2.5886765341455344%,39
422,STT,-1.154300910984157%,43
423,STX,-1.6434751379206898%,32
424,STZ,0.32148030066710165%,39
425,SWK,-0.40670953388174946%,42
426,SWKS,2.3200736470387016%,48
427,SYF,-1.5151952614753479%,39
428,SYK,-0.7247804808865405%,42
429,SYY,-1.1894993775757037%,46
430,T,4.682758437489939%,75
431,TAP,-0.4833261579144137%,44
432,TDG,0.1059577727368351%,19
433,TDY,-0.7008070088320265%,12
434,TECH,-1.8151910833980656%,36
435,TEL,-0.4804277604327466%,37
436,TER,-0.9971180518969847%,34
437,TFC,3.4717788219565415%,61
438,TFX,-0.033142716843126696%,33
439,TGT,3.2766634988760472%,59
440,TJX,0.5069044522440223%,35
441,TMO,0.5448793459899847%,39
442,TMUS,0.3977891477035442%,38
443,TPR,-2.2869982146144965%,38
444,TRGP,-0.641146099851677%,44
445,TRMB,-2.0322869583146472%,30
446,TROW,1.8018565053767484%,38
447,TRV,-0.952437928425267%,44
448,TSCO,-1.618736355294676%,37
449,TSLA,-2.6623010299230017%,57
450,TSN,-0.7021361221625506%,41
451,TT,0.3718659747746295%,42
452,TTWO,3.7019926485025296%,44
453,TXN,-0.45632260498631294%,37
454,TXT,0.7509141363998371%,46
455,TYL,0.014548791255587612%,22
456,UAL,-2.7948844987463137%,53
457,UDR,-0.7368973196650541%,45
458,UHS,-1.1760269397724967%,32
459,ULTA,0.21477892710251706%,34
460,UNH,0.8376935076980687%,52
461,UNP,2.1267638472796775%,43
462,UPS,2.3480842851704216%,33
463,URI,-3.20191713790595%,40
464,USB,0.43803941935266444%,52
465,V,1.960387772380819%,47
466,VFC,4.180488932231761%,48
467,VICI,7.794316022475085%,52
468,VLO,0.23703472374623183%,41
469,VMC,-1.1196650941822823%,33
470,VRSK,-0.6477973591559861%,40
471,VRSN,0.14578090212405972%,32
472,VRTX,0.06777515281413182%,39
473,VTR,-0.07869357190688453%,41
474,VTRS,1.3457266593624637%,51
475,VZ,5.669892438247108%,71
476,WAB,-1.428195274683463%,33
477,WAT,-0.5421982638768772%,27
478,WBA,1.0109011591651658%,49
479,WBD,3.285548700294627%,53
480,WDC,-2.4558925202951642%,38
481,WEC,3.479875228384841%,55
482,WELL,0.06834943359222923%,42
483,WFC,-0.029577173396871777%,63
484,WHR,0.6118283956843515%,31
485,WM,1.2095908282349728%,45
486,WMB,-0.2610634527411786%,44
487,WMT,1.4030502956887863%,47
488,WRB,2.740045246605171%,43
489,WRK,0.9906218001346989%,37
490,WST,-0.613421835077872%,32
491,WTW,-0.20126562028420306%,26
492,WY,-2.5763163509612292%,41
493,WYNN,-0.5734234635211168%,38
494,XEL,0.1689109741712293%,44
495,XOM,-1.2679264857959727%,52
496,XRAY,-0.1677798402969602%,44
497,XYL,-1.0391695257403768%,38
498,YUM,-0.21635364296642445%,39
499,ZBH,-0.6131894248950573%,36
500,ZBRA,1.8109774628860529%,21
501,ZION,-2.3600646642532546%,50
502,ZTS,-1.9460407973620628%,35
