,Ticker:,Total Gain:,Trades:
61,BG,1.2481974416144566%,93
62,BIIB,0.7656040174163659%,87
63,BIO,-0.8677654390706134%,37
64,BK,-1.708020161945214%,96
65,BKNG,1.3426567912100444%,52
66,BKR,-0.9021849377754216%,96
67,BLK,-0.32029448000161165%,82
68,BMY,0.4350984120350077%,105
69,BR,0.18331923947933898%,81
70,BRK-B,-0.45928635912464816%,99
71,BRO,0.34832390158162413%,80
72,BSX,-1.4617953283435696%,97
73,BWA,0.6463745875821063%,100
74,BXP,-1.7575378834006543%,103
75,C,-0.010993310167184389%,98
76,CAG,0.19476676130891318%,83
77,CAH,-0.17482127373589973%,90
78,CARR,1.3652758982122295%,89
79,CAT,0.1360389620845105%,97
80,CB,0.4902090301324757%,93
81,CBOE,0.10684963387755067%,72
82,CBRE,-2.982557002890552%,107
83,CCI,-0.4886966629563998%,99
84,CCL,-1.7889111811257445%,88
85,CDAY,1.5763867173120756%,98
86,CDNS,-0.4297855413824371%,93
87,CDW,0.24872278141102114%,83
88,CE,0.23699241785815195%,104
89,CEG,-0.7330530276997129%,104
90,CF,0.4133845306782982%,109
91,CFG,-3.4592847297375027%,96
92,CHD,-0.36409269869235683%,80
93,CHRW,-2.9337205182781636%,91
94,CHTR,-0.21778305718948482%,97
95,CI,0.2379935378226161%,102
96,CINF,-0.7233264425386231%,74
97,CL,-1.5149691612955358%,88
98,CLX,-0.4881979864476238%,99
99,CMA,0.1439203979112582%,93
100,CMCSA,-0.4617561524588097%,91
101,CME,0.07115070357220887%,91
102,CMG,0.7877255289088411%,50
103,CMI,-0.2783178648471523%,75
104,CMS,-0.09734668282950176%,99
105,CNC,-0.1975154406543031%,96
106,CNP,-2.4142570607660705%,97
107,COF,0.4788609054351529%,94
108,COO,-1.3550001283799848%,68
109,COP,1.4739722760941922%,83
110,COST,0.18411741079928834%,96
111,CPB,-1.0689855328276185%,96
112,CPRT,0.04656238193005777%,97
113,CPT,-0.7185439502595062%,86
114,CRL,-3.83833204174877%,65
115,CRM,-0.63723437795698%,94
116,CSCO,0.4346415627740095%,98
117,CSGP,-1.5764788603619717%,94
118,CSX,-0.27731606796547936%,87
119,CTAS,-0.35240308482555477%,63
120,CTLT,-4.7895393936806325%,89
121,CTRA,-1.0437781932980121%,99
122,CTSH,-0.24055725152321433%,103
123,CTVA,1.4379218664941216%,90
124,CVS,1.8638853920758562%,96
125,CVX,-0.9001847013336185%,104
126,CZR,-2.0427633759586294%,101
127,D,-0.5383451672256022%,96
128,DAL,-0.5571198817949303%,96
129,DD,-0.4366446783367283%,90
130,DE,-0.6032981391908325%,88
131,DFS,-0.6062892606646779%,102
132,DG,0.15700453109879736%,99
133,DGX,-1.8607909322690646%,83
134,DHI,-1.292515164469692%,104
135,DHR,0.7536183862386137%,97
136,DIS,-1.8860146410228427%,106
137,DISH,-3.2754154649406835%,74
138,DLR,-2.587299043445279%,97
139,DLTR,0.9816241085016257%,85
140,DOV,-0.19069341941219176%,96
141,DOW,-0.9661771712778019%,100
142,DPZ,-0.34775993634146923%,102
143,DRI,-1.9632670705638813%,93
144,DTE,-0.13070810782514422%,89
145,DUK,0.6500231186400303%,104
146,DVA,0.03435244947274502%,80
147,DVN,1.4795048672249231%,109
148,DXC,-1.188012262036373%,91
149,DXCM,-1.4127189806059148%,88
150,EA,0.26817064737830454%,94
151,EBAY,-0.3992638425282542%,97
152,ECL,0.12941373187091904%,85
153,ED,1.2090117725012703%,96
154,EFX,-0.30151027210630593%,80
155,EIX,-0.3521447207790297%,96
156,EL,1.2600383535234907%,89
157,ELV,1.0635150411299321%,103
158,EMN,0.10960607501303667%,96
159,EMR,0.23365133876046698%,96
160,ENPH,-3.9574858403894715%,97
161,EOG,-0.48794256687344306%,94
162,EPAM,0.37674897061933554%,55
163,EQIX,-0.31306624551693024%,67
164,EQR,-0.6052477723765495%,96
165,EQT,-1.9517313972760433%,97
166,ES,-0.7645223425177856%,94
167,ESS,-1.7060934066674378%,74
168,ETN,0.5945078557415837%,95
169,ETR,-1.231672342964519%,101
170,ETSY,0.3817975857709114%,99
171,EVRG,-3.0298234878355936%,96
172,EW,0.40583389927912134%,102
173,EXC,-0.49617855893429785%,94
174,EXPD,-2.261197051167854%,96
175,EXPE,1.0828517710976768%,97
176,EXR,-2.8819699887847197%,102
177,F,0.01993849517740555%,93
178,FANG,-0.3109817177106847%,100
179,FAST,0.48227942410658436%,94
180,FCX,-0.34979551894353367%,98
181,FDS,0.4759470953245575%,46
182,FDX,-1.0306328221833652%,94
183,FE,-1.6194773295160028%,100
184,FFIV,-0.1743268423920633%,66
185,FICO,-1.554932604168685%,49
186,FIS,-2.953101281253863%,95
187,FISV,0.0785533431265999%,94
188,FITB,-0.9882010344868918%,93
189,FLT,0.5251048371927202%,67
190,FMC,0.24618850910634846%,88
191,FOX,-0.21190864970537887%,83
192,FOXA,0.2209342039163432%,89
193,FRC,-1.1515310165646055%,103
194,FRT,-1.367137012148645%,80
195,FSLR,-2.530634550153515%,93
196,FTNT,-0.6070371120761306%,91
197,FTV,-0.43328600843555076%,98
198,GD,-0.02226521813619271%,90
199,GE,0.015931648363481585%,106
200,GEHC,-0.8646612382227042%,100
201,GEN,-0.4593085117182164%,89
202,GILD,0.14196900166380866%,104
203,GIS,-0.6684582869693763%,95
204,GL,-1.174821733876882%,60
205,GLW,0.44852699000996465%,91
206,GM,0.9476661894017296%,99
207,GNRC,-0.36871151659013734%,92
208,GOOG,1.5370036864064058%,104
209,GOOGL,0.871181665904698%,89
210,GPC,0.6710156187716882%,88
211,GPN,-0.6004213040205475%,89
212,GRMN,-0.5228931791770419%,87
213,GS,0.5333767196202255%,101
214,GWW,0.9910756194421576%,46
215,HAL,4.6550158800770856%,95
216,HAS,-0.6172884696914929%,92
217,HBAN,-0.8075135477711793%,83
218,HCA,-0.7848351528289164%,93
219,HD,0.6502202414395062%,101
220,HES,2.9433158359020823%,94
221,HIG,0.04209388174537319%,90
222,HII,-0.5749500694501969%,57
223,HLT,-0.03450114074115569%,97
224,HOLX,-2.997013663986699%,90
225,HON,0.5887983542000831%,98
226,HPE,-1.3760004139162443%,89
227,HPQ,0.15011248041053704%,92
228,HRL,0.298579447688148%,85
229,HSIC,0.36086507210328334%,81
230,HST,-2.8432222722198564%,85
231,HSY,0.5651412749210638%,85
232,HUM,0.5333896290765308%,93
233,HWM,1.8635514907565742%,99
234,IBM,0.01171480240640706%,105
235,ICE,-1.9820819376439531%,95
236,IDXX,-3.92861705619985%,70
237,IEX,-0.03079107990981329%,53
238,IFF,-3.681787728100607%,99
239,ILMN,-0.1009403114246763%,84
240,INCY,-2.154361334455786%,90
241,INTC,-0.4686984440218399%,100
242,INTU,-0.9237116819834942%,89
243,INVH,0.11059659289040749%,90
244,IP,0.09599426067667052%,95
245,IPG,0.9367350244139184%,90
246,IQV,-0.11603667592067757%,99
247,IR,0.4080059813212875%,93
248,IRM,0.7966394786360045%,93
249,ISRG,-0.5739169861687747%,94
250,IT,0.388740068589303%,57
251,ITW,-1.3169177131624967%,85
252,IVZ,-3.2051816427183084%,88
253,J,-0.1578686308121202%,50
254,JBHT,-0.8974868369644179%,77
255,JCI,1.1189194334991943%,88
256,JKHY,-0.7190486562061839%,76
257,JNJ,0.6133737437010558%,100
258,JNPR,0.5183487065343348%,93
259,JPM,-0.5761713283367453%,95
260,K,-0.007565607800966857%,101
261,KDP,-0.07450459522798138%,89
262,KEY,-2.058429407213057%,71
263,KEYS,-2.0659097293766164%,83
264,KHC,0.09949995467775416%,101
265,KIM,0.11956425726495419%,88
266,KLAC,-1.854408900770843%,92
267,KMB,0.33425948871488953%,107
268,KMI,-0.68919170229855%,88
269,KMX,0.12185534440867138%,106
270,KO,0.894062444565911%,95
271,KR,-0.15534056172754385%,98
272,L,-0.5487429688776588%,81
273,LDOS,-0.16289746265273514%,93
274,LEN,-0.7106590965468687%,93
275,LH,-0.5779598819011872%,63
276,LHX,0.2815259152651307%,83
277,LIN,1.4407774757341498%,88
278,LKQ,0.20143464760242094%,89
279,LLY,1.5342927144462912%,96
280,LMT,1.04115046020027%,105
281,LNC,-0.688984651546569%,98
282,LNT,-1.0038335075156497%,99
283,LOW,0.7667935499992121%,93
284,LRCX,-0.13470130410679224%,91
285,LUV,-1.3698609861180764%,86
286,LVS,-1.0079033789006937%,91
287,LW,0.3326154125850348%,97
288,LYB,-0.1681531187680341%,97
289,LYV,-2.3070948460421805%,96
290,MA,0.5630339842139305%,97
291,MAA,-1.8510499771826754%,91
292,MAR,-0.13435024091074887%,101
293,MAS,0.8935151710346115%,93
294,MCD,0.6148945659177975%,95
295,MCHP,-1.1138686419179713%,99
296,MCK,0.4556676527327423%,85
297,MCO,-0.7310865136347487%,99
298,MDLZ,1.356638216258441%,97
299,MDT,-0.34127198933468617%,92
300,MET,-0.3409808210202845%,89
301,META,0.9888101404254777%,98
302,MGM,0.1605402628183518%,90
303,MHK,-1.4068761119691873%,78
304,MKC,0.4633576987782244%,101
305,MKTX,-0.20793355247909381%,42
306,MLM,-1.1769829689655709%,76
307,MMC,1.4390754216229098%,100
308,MMM,-0.64992967568928%,93
309,MNST,-2.5361341996586795%,81
310,MO,0.041693043199042545%,93
311,MOH,-1.9154547237917177%,75
312,MOS,-1.4203397157644582%,99
313,MPC,-0.484363699917284%,95
314,MPWR,0.2676888967349482%,73
315,MRK,1.7749604972517656%,95
316,MRNA,1.5048661992666517%,102
317,MRO,-0.13200908101409486%,103
318,MS,-0.6706641183229947%,93
319,MSCI,-0.4695071882551027%,57
320,MSFT,0.08708090418739814%,102
321,MSI,2.181411277044411%,86
322,MTB,-1.7920279421551113%,99
323,MTCH,0.4926646735013871%,98
324,MTD,-0.835080493559698%,26
325,MU,0.8380991235275107%,103
326,NCLH,-0.9398821150409673%,81
327,NDAQ,0.12569781330700697%,92
328,NDSN,-0.06680358152467504%,40
329,NEE,0.09416598881186543%,102
330,NEM,0.599004754940063%,105
331,NFLX,-0.7970240147583565%,96
332,NI,-1.3808088445996325%,86
333,NKE,0.22811097544929526%,102
334,NOC,0.694233569256612%,82
335,NOW,0.899713834185594%,90
336,NRG,-0.6694850185080826%,93
337,NSC,-2.5869893657289253%,93
338,NTAP,-0.26736680027391957%,93
339,NTRS,-0.9833548879380555%,97
340,NUE,0.15796882367609488%,102
341,NVDA,0.6028127640655755%,99
342,NVR,-0.3849868177353277%,32
343,NWL,-0.801263217038493%,71
344,NWS,1.0557856494503701%,83
345,NWSA,1.2593915413674668%,81
346,NXPI,-2.777378909882633%,97
347,O,-0.17751000529664981%,102
348,ODFL,-0.507504969554039%,80
349,OGN,-0.2571561198932644%,91
350,OKE,-0.3896514134112155%,102
351,OMC,1.0646778828993577%,97
352,ON,-0.036868985085101696%,95
353,ORCL,1.4085392611550298%,92
354,ORLY,1.3894894137885407%,67
355,OTIS,-2.1616705020739104%,99
356,OXY,0.36252953444671815%,88
357,PARA,-0.299644935042953%,96
358,PAYC,-1.7275788287214826%,70
359,PAYX,-0.400424759514749%,96
360,PCAR,0.456987302221199%,92
361,PCG,0.16111457950536798%,90
362,PEAK,-3.8509726939953133%,99
363,PEG,-1.0893453452716393%,94
364,PEP,0.20349805934608794%,85
365,PFE,0.5483405214435264%,96
366,PFG,-1.8880127694811402%,95
367,PG,0.4859464730344249%,99
368,PGR,1.0521500906404466%,97
369,PH,0.41398597468822196%,87
370,PHM,1.2451464102350658%,100
371,PKG,1.2148305870126452%,77
372,PKI,-1.2088205486166526%,86
373,PLD,-0.9502567391651262%,102
374,PM,0.2275462592347128%,100
375,PNC,-1.239333446130394%,92
376,PNR,0.26910371957325996%,93
377,PNW,-0.16430659275457726%,95
378,PODD,-1.3262416724205157%,73
379,POOL,0.6702618951613111%,72
380,PPG,0.6516077203857985%,105
381,PPL,-0.019127262485045544%,97
382,PRU,0.14592430847961402%,103
383,PSA,-0.6899598234002047%,95
384,PSX,-0.26884622383657897%,101
385,PTC,-0.07468326731576211%,73
386,PWR,0.08493583760384171%,78
387,PXD,1.229700281830941%,107
388,PYPL,0.03624746987079464%,96
389,QCOM,-1.32825615037475%,96
390,QRVO,2.599262493632824%,94
391,RCL,-0.9121911680471749%,97
392,RE,1.023143738235181%,37
393,REG,0.4538303911061986%,87
394,REGN,0.677746947446398%,71
395,RF,-2.200924693316581%,93
396,RHI,-1.0011699241797631%,81
397,RJF,-1.419196696604441%,97
398,RL,-0.46827441878258436%,87
399,RMD,0.2995324325627669%,77
400,ROK,-2.1411060957895813%,81
401,ROL,-0.13153423725437968%,83
402,ROP,0.3603351842806883%,78
403,ROST,-0.8711002883909146%,98
404,RSG,1.4444064586728285%,93
405,RTX,0.7197693684723996%,93
406,SBAC,-2.0367182909336985%,87
407,SBUX,0.11345396459688184%,92
408,SCHW,-1.8049659343062459%,95
409,SEDG,-0.9248268687379861%,97
410,SEE,0.20629037145119203%,91
411,SHW,0.8352720828806477%,103
412,SJM,0.6234364863232315%,84
413,SLB,0.41520952101210884%,112
414,SNA,0.015216140907113818%,53
415,SNPS,-0.2831114926416862%,93
416,SO,-0.4227124802939738%,92
417,SPG,-2.0717334067835447%,88
418,SPGI,-1.1164956292167567%,104
419,SRE,-0.8849877813025891%,88
420,STE,-0.26666568939795604%,71
421,STLD,-0.9802429541732935%,100
422,STT,0.5877357250587866%,101
423,STX,-2.2746829884612367%,101
424,STZ,-0.5416862686738064%,87
425,SWK,-0.8949055333091402%,87
426,SWKS,0.10958406878980675%,100
427,SYF,0.3001969003468707%,98
428,SYK,-0.184715207968976%,89
429,SYY,0.4030648916634711%,92
430,T,0.2038638619583973%,94
431,TAP,0.6137754395146563%,99
432,TDG,1.4529978359227074%,53
433,TDY,-0.49903444999914537%,34
434,TECH,-0.38128994985888925%,93
435,TEL,-0.18701087698550878%,96
436,TER,1.024434252702509%,91
437,TFC,-1.8266665809771412%,98
438,TFX,-0.35911842372293756%,56
439,TGT,-0.5324306852628512%,93
440,TJX,-0.05415522470085924%,100
441,TMO,-2.33466151266776%,86
442,TMUS,0.709255749168026%,95
443,TPR,-1.1251119305910195%,91
444,TRGP,-2.9115495688414352%,101
445,TRMB,0.40400250293388523%,83
446,TROW,1.054274884647455%,97
447,TRV,0.0754755107473204%,88
448,TSCO,2.093334149859716%,96
449,TSLA,-2.3452397140918215%,95
450,TSN,0.7272315890338606%,95
451,TT,-1.1451863321998086%,91
452,TTWO,-1.4052563827432327%,99
453,TXN,-0.3252546487183722%,100
454,TXT,0.3367709386012504%,87
455,TYL,0.3359094891091697%,56
456,UAL,0.25685022191287016%,98
457,UDR,-1.8228406891344011%,95
458,UHS,0.4752374103903524%,78
459,ULTA,0.5004323623672686%,80
460,UNH,0.9772361099495198%,104
461,UNP,-0.8311297205116702%,95
462,UPS,3.0250419606316714%,108
463,URI,-1.7701251000955438%,99
464,USB,-0.6987965473395922%,95
465,V,1.7277014942947813%,93
466,VFC,-1.8854921599064787%,95
467,VICI,-1.3781565199323107%,103
468,VLO,0.21893787931728903%,104
469,VMC,-0.2688108878591774%,99
470,VRSK,0.20459852697258726%,102
471,VRSN,0.5649805490017836%,80
472,VRTX,0.2722274054808027%,83
473,VTR,-2.901703312077024%,95
474,VTRS,-0.9904569764010226%,73
475,VZ,-0.6161412813353634%,96
476,WAB,0.8791571669161296%,82
477,WAT,-0.04965202365134413%,51
478,WBA,-0.07847982397105113%,91
479,WBD,-1.3979076402222244%,87
480,WDC,-0.41191935452610506%,100
481,WEC,-0.2862860787213984%,92
482,WELL,0.14989918736601032%,95
483,WFC,0.18182611993892644%,88
484,WHR,-1.5830602126102424%,68
485,WM,0.7930394700057795%,93
486,WMB,0.056437415913686506%,103
487,WMT,-0.2739864950167791%,105
488,WRB,1.1609889438184495%,85
489,WRK,-1.858760989859394%,91
490,WST,1.2869711293167385%,63
491,WTW,0.4435221950505978%,72
492,WY,-0.16299988927940584%,94
493,WYNN,-1.3775653002956985%,101
494,XEL,-0.17785009777673427%,95
495,XOM,1.450961401034827%,93
496,XRAY,-0.4069602563440356%,94
497,XYL,0.3241763709064436%,96
498,YUM,-0.22400768111599267%,100
499,ZBH,-0.31661265940062977%,90
500,ZBRA,-2.0777828994769694%,51
501,ZION,-1.2284374063482442%,93
502,ZTS,0.6378470703631475%,93
